case;event;date;amount;notificationType;expense;lastSent;paymentAmount;article;points;org:resource;dismissal;vehicleClass;totalPaymentAmount;matricola;delaySend;delayJudge;delayPrefecture
N99647;Send Fine;2006-11-16;35.0;;22.0;;;157;0;557;NIL;A;0.0;;138.0;;
N99647;Insert Fine Notification;2006-11-28;35.0;P;22.0;P;;157;0;557;NIL;A;0.0;;;;
N99647;Add Penalty;2007-01-27;71.5;P;22.0;P;;157;0;557;NIL;A;0.0;;;;
N99647;Insert Date Appeal to Prefecture;2007-03-06;71.5;P;22.0;P;;157;0;557;NIL;A;0.0;;;;98.0
N99647;Receive Result Appeal from Prefecture;2007-10-01;71.5;P;22.0;P;;157;0;557;NIL;A;0.0;;;;
N99647;Notify Result Appeal to Offender;2007-10-09;71.5;P;22.0;P;;157;0;557;NIL;A;0.0;;;;
N99647;Appeal to Judge;2007-10-18;71.5;P;22.0;P;;157;0;0;NIL;A;0.0;0.0;;324.0;
N99647;Send for Credit Collection;2010-10-15;71.5;P;22.0;P;;157;0;0;NIL;A;0.0;0.0;;;
N99647;Send Appeal to Prefecture;2011-12-25;71.5;P;22.0;P;;157;0;0;NIL;A;0.0;0.0;;;
S111699;Create Fine;2006-07-13;35.0;;;;;7;0;11;NIL;A;0.0;;;;
S111699;Send Fine;2006-12-04;35.0;;22.0;;;7;0;11;NIL;A;0.0;;144.0;;
S111699;Insert Date Appeal to Prefecture;2006-12-21;35.0;;22.0;;;7;0;11;NIL;A;0.0;;;;
S111699;Insert Fine Notification;2006-12-21;35.0;P;22.0;P;;7;0;11;NIL;A;0.0;;;;
S111699;Send Appeal to Prefecture;2007-02-02;35.0;P;22.0;P;;7;0;11;NIL;A;0.0;;;;
S111699;Add Penalty;2007-02-19;71.5;P;22.0;P;;7;0;11;NIL;A;0.0;;;;
S111699;Receive Result Appeal from Prefecture;2007-04-10;71.5;P;22.0;P;;7;0;11;NIL;A;0.0;;;;
S111699;Notify Result Appeal to Offender;2007-04-19;71.5;P;22.0;P;;7;0;11;NIL;A;0.0;;;;
S111699;Payment;2007-05-15;71.5;P;22.0;P;92.0;7;0;11;NIL;A;92.0;;;;
S68811;Create Fine;2001-08-16;32.8;;;;;7;0;802;NIL;A;0.0;;;;
S68811;Send Fine;2001-11-09;32.8;;13.43;;;7;0;802;NIL;A;0.0;;85.0;;
S68811;Insert Fine Notification;2001-12-01;32.8;P;13.43;NO;;7;0;802;NIL;A;0.0;;;;
S68811;Insert Date Appeal to Prefecture;2001-12-04;32.8;P;13.43;NO;;7;0;802;NIL;A;0.0;;;;3.0
S68811;Send Appeal to Prefecture;2001-12-11;32.8;P;13.43;NO;;7;0;802;NIL;A;0.0;;;;
S68811;Receive Result Appeal from Prefecture;2001-12-28;32.8;P;13.43;NO;;7;0;802;NIL;A;0.0;;;;
S68811;Add Penalty;2002-01-30;65.6;P;13.43;NO;;7;0;802;NIL;A;0.0;;;;
S68811;Payment;2002-06-03;65.6;P;13.43;NO;92.46;7;0;802;NIL;A;92.46;;;;
S73463;Create Fine;2002-06-23;65.0;;;;;158;0;837;NIL;A;0.0;;;;
S73463;Send Fine;2002-07-29;65.0;;10.0;;;158;0;837;NIL;A;0.0;;36.0;;
S73463;Appeal to Judge;2002-08-09;65.0;;10.0;;;158;0;0;NIL;A;0.0;0.0;;;
S73463;Insert Date Appeal to Prefecture;2002-09-12;65.0;;10.0;;;158;0;0;NIL;A;0.0;0.0;;;
S73463;Send Appeal to Prefecture;2002-10-10;65.0;;10.0;;;158;0;0;NIL;A;0.0;0.0;;;
V8852;Create Fine;2002-04-24;131.0;;;;;142;0;11;NIL;A;0.0;;;;
V8852;Send Fine;2002-07-29;131.0;;10.0;;;142;0;11;NIL;A;0.0;;96.0;;
V8852;Insert Date Appeal to Prefecture;2002-08-07;131.0;;10.0;;;142;0;0;NIL;A;0.0;0.0;;;
V8852;Appeal to Judge;2002-08-07;131.0;;10.0;;;142;0;0;NIL;A;0.0;0.0;;;
V8852;Send Appeal to Prefecture;2002-08-08;131.0;;10.0;;;142;0;0;NIL;A;0.0;0.0;;;
